#mpa_v30_CHOCOPhlAn_201901
#/data/S03_kneaddata_cleaned_paired_merged.fastq --input_type fastq --nproc 16 -o /local/tmp/S03_metaphlan.txt --tmp_dir /local/tmp/S03/metaphlan_tmp --bowtie2db /data/dbs --force --add_viruses -t rel_ab_w_read_stats --unknown_estimation
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8631309
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNKNOWN	-1	61.82275	-	13977208
k__Bacteria	2	37.74056	2.68665	8630415
k__Viruses	10239	0.43668	0.03109	894
k__Bacteria|p__Bacteroidetes	2|976	30.76366	2.18999	7263341
k__Bacteria|p__Firmicutes	2|1239	3.0218	0.21511	572572
k__Bacteria|p__Verrucomicrobia	2|74201	2.17796	0.15504	432700
k__Bacteria|p__Proteobacteria	2|1224	1.26003	0.0897	268645
k__Bacteria|p__Actinobacteria	2|201174	0.46844	0.03335	75140
k__Viruses|p__Viruses_unclassified	10239|	0.43668	0.03109	894
k__Bacteria|p__Lentisphaerae	2|256845	0.04867	0.00346	18017
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	30.76366	2.18999	7263341
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.38618	0.16987	468533
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.17796	0.15504	432700
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.22776	0.0874	263395
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.43668	0.03109	894
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.41281	0.02939	67209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.39433	0.02807	63092
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.22137	0.01576	36572
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.07411	0.00528	12048
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.04867	0.00346	18017
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02378	0.00169	4024
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00849	0.0006	1226
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00144	0.0001	258
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	30.76366	2.18999	7263341
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.38618	0.16987	468533
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.17796	0.15504	432700
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.22776	0.0874	263395
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.41281	0.02939	67209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.32053	0.02282	49948
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.22137	0.01576	36572
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.07411	0.00528	12048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.0738	0.00525	13144
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.04867	0.00346	18017
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02378	0.00169	4024
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00849	0.0006	1226
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.00144	0.0001	258
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	15.13159	1.07718	3864433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	11.86098	0.84435	2123491
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.21345	0.22876	1092840
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	2.17796	0.15504	432700
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.67205	0.11903	347547
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	1.22776	0.0874	263395
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.44339	0.03156	152307
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.43668	0.03109	894
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.43633	0.03106	47017
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.41281	0.02939	67209
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.32053	0.02282	49948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.22806	0.01623	61688
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.22137	0.01576	36572
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.07411	0.00528	12048
