#mpa_v30_CHOCOPhlAn_201901
#/data/S01_kneaddata_cleaned_paired_merged.fastq --input_type fastq --nproc 16 -o /local/tmp/S01_metaphlan.txt --tmp_dir /local/tmp/S01/metaphlan_tmp --bowtie2db /data/dbs --force --add_viruses -t rel_ab_w_read_stats --unknown_estimation
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:293334
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNKNOWN	-1	99.6795	-	91229204
k__Viruses	10239	0.30362	0.91921	38896
k__Bacteria	2	0.01689	0.05112	254438
k__Viruses|p__Viruses_unclassified	10239|	0.30362	0.91921	38896
k__Bacteria|p__Bacteroidetes	2|976	0.01686	0.05104	254026
k__Bacteria|p__Proteobacteria	2|1224	3e-05	8e-05	412
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.30362	0.91921	38896
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.01686	0.05104	254026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3e-05	8e-05	412
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.01686	0.05104	254026
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.0001	0.00029	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3e-05	8e-05	412
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.29634	0.89717	37983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.01672	0.05061	252560
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified	10239|||28883|	0.00015	0.00045	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.00011	0.00034	1035
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.0001	0.00029	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	3e-05	8e-05	412
