Taxon,Taxon_Shortname,pvalue,Persons,loglik,H2,SEH2,Va,SEVa,Ve,SEVe,mu,SEmu,ANTHRO.AGE,SEANTHRO.AGE,ANTHRO.AGE2,SEANTHRO.AGE2,gender,SEgender,ANTHRO.BMI,SEANTHRO.BMI,META.DNA.postclean.reads,SEMETA.DNA.postclean.reads,META.POOP.Freq,SEMETA.POOP.Freq,Varmu,VarANTHRO.AGE,VarANTHRO.AGE2,Vargender,VarANTHRO.BMI,VarMETA.DNA.postclean.reads,VarMETA.POOP.Freq,FDR
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_thetaiotaomicron,s_Bacteroides_thetaiotaomicron,0.012,4745,-3467.81,0.1204,0.0323,0.1916,0.0578,1.3992,0.0623,-0.069127,0.0639966,-0.00661041,0.0058574,7.94E-05,6.55E-05,0.0439021,0.0369815,0.0159551,0.00532713,-2.10E-08,3.85E-09,0.105584,0.0337189,0.0170562,0.0294522,0.0181948,0.000481264,0.0359224,0.0671807,0.00619383,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_uniformis,s_Bacteroides_uniformis,3.30E-06,4745,-4060.04,0.2215,0.0305,0.455,0.0773,1.5988,0.0784,-0.071021,0.0725129,0.0167808,0.00661856,-0.000210895,7.39E-05,0.0740497,0.0419064,0.0386239,0.00603645,3.23E-08,4.35E-09,0.105818,0.0382191,1.02791,0.189796,0.12832,0.00136918,0.210512,0.158822,0.00622135,0.000759
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_vulgatus,s_Bacteroides_vulgatus,1.90E-07,4745,-4700.13,0.2109,0.0307,0.5668,0.1008,2.1208,0.1029,0.148645,0.0829886,-0.000713702,0.00757737,-9.31E-05,8.46E-05,-0.0877751,0.047958,0.0371792,0.00690848,1.51E-08,4.98E-09,0.147647,0.0437386,0.329072,0.000343317,0.0249835,0.00192378,0.195059,0.0346863,0.0121119,4.50E-05
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,0.83,4745,-3653.97,0.0088,0.0338,0.0151,0.0585,1.7012,0.068,-0.0286873,0.0664526,0.000934783,0.00609233,-2.92E-05,6.83E-05,0.00131655,0.03844,-0.00820374,0.0055308,-2.90E-08,4.00E-09,0.0378761,0.035005,0.198437,0.000588956,0.00246686,4.33E-07,0.00949706,0.128203,0.000797065,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname,f_Bacteroidales_noname,0.00078,4745,-4290.98,0.1503,0.0318,0.3388,0.0829,1.9149,0.0877,-0.0323628,0.0761318,0.0261088,0.00696329,-0.000322809,7.78E-05,0.0504517,0.043991,0.00262385,0.00633745,6.43E-08,4.57E-09,-0.0996893,0.0401163,0.926145,0.459447,0.300645,0.000635572,0.000971503,0.628352,0.00552154,0.15912
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname.g_Bacteroidales_noname,g_Bacteroidales_noname,0.00077,4745,-4290.91,0.1504,0.0318,0.3389,0.0829,1.9147,0.0877,-0.0325396,0.0761308,0.0260751,0.00696319,-0.000322464,7.78E-05,0.0505957,0.0439904,0.00263785,0.00633736,6.43E-08,4.57E-09,-0.099538,0.0401157,0.926337,0.458261,0.300003,0.000639205,0.000981892,0.628659,0.0055048,0.15785
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidales_noname.g_Bacteroidales_noname.s_Bacteroidales_bacterium_ph8,s_Bacteroidales_bacterium_ph8,0.00075,4745,-4291.87,0.1508,0.0318,0.34,0.0829,1.9145,0.0877,-0.0319593,0.0761464,0.0258457,0.00696454,-0.000320824,7.78E-05,0.0501789,0.0439993,0.00330967,0.00633866,6.42E-08,4.57E-09,-0.0965138,0.040124,0.935401,0.450234,0.296958,0.000628718,0.00154574,0.626939,0.00517538,0.1545
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae,f_Porphyromonadaceae,0.32,4745,-1607.05,0.0467,0.0333,0.0339,0.0253,0.6907,0.0286,0.0433093,0.0431994,0.0208855,0.0039589,-0.00028739,4.43E-05,0.0226045,0.0249769,0.0314376,0.00359566,5.85E-08,2.60E-09,0.0569362,0.0227575,1.48462,0.294003,0.23829,0.000127586,0.139464,0.519241,0.00180111,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella,g_Barnesiella,0.33,4745,-3440.18,0.0429,0.0334,0.0674,0.0547,1.5015,0.062,-0.213922,0.0635669,0.0118575,0.00582569,-0.000160493,6.52E-05,0.175267,0.0367543,-0.00228915,0.00529089,4.28E-08,3.83E-09,-0.0594519,0.0334868,0.311077,0.0947651,0.0743143,0.00767036,0.000739461,0.278,0.00196379,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella.s_Barnesiella_intestinihominis,s_Barnesiella_intestinihominis,0.34,4745,-3438.61,0.0426,0.0334,0.0668,0.0546,1.5011,0.062,-0.212961,0.0635455,0.0116422,0.00582376,-0.000159135,6.52E-05,0.174697,0.0367421,-0.00167522,0.00528911,4.27E-08,3.82E-09,-0.0566764,0.0334755,0.315833,0.0913551,0.0730626,0.00762048,0.000396013,0.277424,0.00178471,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Coprobacter,g_Coprobacter,0.72,4745,-2966.35,0.0154,0.0337,0.0198,0.044,1.2647,0.0508,-0.13036,0.0574959,-0.0201274,0.00527088,0.00024889,5.90E-05,0.0794374,0.0332558,-0.0037457,0.00478539,-1.76E-08,3.46E-09,0.0383426,0.0302872,0.149622,0.273047,0.178722,0.00157566,0.00197985,0.0473372,0.000816819,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Coprobacter.s_Coprobacter_fastidiosus,s_Coprobacter_fastidiosus,0.73,4745,-2953.06,0.0145,0.0337,0.0185,0.0437,1.2588,0.0506,-0.130193,0.057334,-0.020162,0.00525609,0.00024838,5.89E-05,0.0793654,0.0331626,-0.00334721,0.00477191,-1.78E-08,3.45E-09,0.0402005,0.0302019,0.14775,0.273985,0.17799,0.00157281,0.001581,0.0480619,0.000897894,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter,g_Odoribacter,0.21,4745,-2276.57,0.0533,0.0333,0.0512,0.0337,0.9096,0.038,0.0190172,0.049751,0.000123905,0.0045589,-6.57E-05,5.10E-05,0.00680276,0.0287628,0.00667044,0.004141,2.98E-08,2.99E-09,0.00766157,0.0262091,0.143471,1.03E-05,0.0124611,1.16E-05,0.00627876,0.134631,3.26E-05,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter.s_Odoribacter_splanchnicus,s_Odoribacter_splanchnicus,0.022,4745,-585.77,0.0969,0.0327,0.0457,0.0169,0.426,0.0185,0.0183355,0.0348568,-0.000257345,0.00319183,-4.98E-05,3.57E-05,0.0109907,0.0201449,0.0118911,0.00290144,2.94E-08,2.10E-09,0.0171326,0.0183645,0.19665,4.46E-05,0.00715447,3.02E-05,0.0199531,0.131233,0.000163083,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter.s_Odoribacter_unclassified,s_Odoribacter_unclassified,1,4745,1204.33,0,0.0339,0,0.0077,0.2267,0.009,0.0102998,0.024148,-0.00159578,0.00221403,3.27E-06,2.48E-05,-0.0116127,0.0139705,-0.00400352,0.00200979,2.40E-10,1.45E-09,-0.00243826,0.0127202,0.00645508,0.00171636,3.09E-05,3.37E-05,0.00226177,8.77E-06,3.30E-06,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides,g_Parabacteroides,0.00013,4745,-2084.68,0.1761,0.0313,0.1568,0.033,0.7337,0.0344,0.142161,0.0478249,0.0168151,0.00437127,-0.000252815,4.88E-05,-0.0679207,0.0276346,0.0316363,0.00398117,3.03E-08,2.87E-09,0.0964076,0.0252026,0.724558,0.190572,0.184402,0.00115191,0.141233,0.139871,0.00516399,0.02834
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,1.70E-06,4745,-3432.48,0.2262,0.0304,0.3567,0.0594,1.2203,0.0601,0.0783928,0.0635284,0.010839,0.00579762,-0.000153228,6.47E-05,-0.0600375,0.036715,0.00364818,0.00528853,-1.45E-08,3.81E-09,0.0524408,0.0334843,0.00955779,0.0791841,0.0677392,0.000900033,0.00187809,0.0317547,0.00152793,0.0003927
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_goldsteinii,s_Parabacteroides_goldsteinii,0.42,4745,-1067.74,0.0434,0.0334,0.025,0.0201,0.5521,0.0228,-0.0601202,0.038556,-0.00677134,0.00353352,3.56E-05,3.96E-05,0.0405863,0.022293,0.00268883,0.00320915,-2.79E-09,2.32E-09,-0.00149602,0.0203112,0.0145813,0.0309037,0.00365891,0.000411313,0.00102022,0.00118121,1.24E-06,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_johnsonii,s_Parabacteroides_johnsonii,0.37,4745,-1978.32,0.0447,0.0334,0.0378,0.0296,0.8094,0.0335,-0.0388207,0.0467137,0.00117175,0.00428107,-3.74E-05,4.79E-05,0.0292208,0.0270093,-0.00390361,0.00388815,-2.72E-09,2.81E-09,-0.0099083,0.0246087,0.0115932,0.00092541,0.00403692,0.000213204,0.00215029,0.00112587,5.45E-05,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_merdae,s_Parabacteroides_merdae,9.70E-06,4745,-3243.03,0.1891,0.0311,0.2746,0.0541,1.1775,0.056,0.197859,0.0610483,0.012717,0.00557783,-0.000248392,6.23E-05,-0.119361,0.0352764,0.0213295,0.00508198,1.40E-08,3.66E-09,0.062758,0.0321725,0.199512,0.109002,0.178007,0.00355744,0.0641985,0.0298429,0.00218827,0.0021728
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides.s_Parabacteroides_unclassified,s_Parabacteroides_unclassified,0.054,4745,-2156,0.0943,0.0327,0.0862,0.0328,0.8281,0.0359,-0.0267552,0.0485281,0.000916435,0.00444393,3.24E-06,4.97E-05,0.028294,0.0280464,0.00623133,0.00403941,5.87E-09,2.92E-09,0.0974522,0.0255671,0.050683,0.000566063,3.04E-05,0.000199895,0.00547931,0.00524474,0.00527651,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae,f_Prevotellaceae,0.00039,4745,-6576.57,0.1521,0.0318,0.8981,0.2173,5.0081,0.2297,0.842866,0.123243,0.0173244,0.0112718,-0.000240776,0.000125977,-0.553949,0.0712128,0.0324654,0.0102591,6.89E-09,7.40E-09,0.0859338,0.0649409,0.417341,0.202292,0.167259,0.0766218,0.148732,0.00721655,0.00410291,0.08151
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella,g_Paraprevotella,0.0011,4745,-3441.53,0.1389,0.032,0.2187,0.0576,1.3559,0.0614,0.286295,0.0636501,0.029018,0.00582328,-0.000299938,6.51E-05,-0.190926,0.0367793,0.00573047,0.00529838,-2.26E-09,3.82E-09,0.0948082,0.0335381,0.152338,0.567539,0.259553,0.00910216,0.00463389,0.000776872,0.00499407,0.2211
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella.s_Paraprevotella_clara,s_Paraprevotella_clara,0.039,4745,-314.02,0.0839,0.0328,0.0353,0.015,0.3852,0.0166,0.0518142,0.0329121,0.011729,0.00301445,-0.000108271,3.37E-05,-0.038409,0.0190226,-0.000564829,0.00273953,-5.51E-09,1.98E-09,0.0682858,0.0173394,0.0129523,0.0927223,0.0338212,0.000368365,4.50E-05,0.00460812,0.00259074,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella.s_Paraprevotella_unclassified,s_Paraprevotella_unclassified,0.0034,4745,-3106.98,0.1252,0.0322,0.1711,0.0497,1.1955,0.0535,0.255629,0.0593124,0.027566,0.00542811,-0.000284703,6.07E-05,-0.1719,0.0342741,0.00486964,0.00493724,-5.17E-09,3.56E-09,0.0948021,0.0312513,0.112107,0.512162,0.233855,0.00737846,0.00334626,0.004065,0.00499343,0.646
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella.s_Paraprevotella_xylaniphila,s_Paraprevotella_xylaniphila,0.0029,4745,-2942.33,0.1229,0.0322,0.1567,0.0463,1.1182,0.0499,-0.206548,0.0572886,-0.0010046,0.00524317,-9.85E-06,5.86E-05,0.132331,0.0331049,-0.0108222,0.00476877,-1.40E-08,3.44E-09,0.041454,0.0301848,0.0975237,0.000680215,0.000279793,0.00437258,0.016527,0.0297842,0.000954762,0.5568
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella,g_Prevotella,0.00034,4745,-6884.38,0.1545,0.0317,1.039,0.2477,5.6863,0.2615,0.697302,0.131504,-0.00218617,0.0120266,-7.29E-05,0.000134409,-0.456988,0.0759861,0.0292015,0.0109468,-4.16E-09,7.90E-09,0.00811274,0.0692944,0.0845923,0.00322128,0.0153255,0.0521463,0.12033,0.00263068,3.66E-05,0.0714
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella.s_Prevotella_copri,s_Prevotella_copri,0.00016,4745,-6829.55,0.1589,0.0316,1.0447,0.2425,5.5285,0.2553,0.624315,0.129995,-0.00224292,0.0118872,-7.57E-05,0.000132843,-0.406016,0.0751138,0.0217751,0.0108212,-1.44E-09,7.81E-09,0.0221366,0.0685,0.0609815,0.0033907,0.0165117,0.0411623,0.0669092,0.000316,0.00027226,0.03472
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella.s_Prevotella_stercorea,s_Prevotella_stercorea,1,4745,-1476.5,0,0.0339,0,0.0234,0.6897,0.0273,0.164574,0.0421194,-0.000730966,0.00386174,2.55E-05,4.33E-05,-0.113115,0.0243675,0.0107118,0.00350551,-6.33E-09,2.54E-09,-0.0321555,0.0221868,0.00802494,0.000360127,0.00187265,0.00319485,0.0161916,0.00608674,0.00057448,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae,f_Rikenellaceae,0.32,4745,-2019.13,0.0423,0.0334,0.0364,0.03,0.8255,0.0341,-0.102848,0.0471154,0.0253569,0.004318,-0.000332808,4.83E-05,0.152997,0.0272423,0.0388927,0.00392157,1.17E-07,2.84E-09,-0.109889,0.0248202,3.94175,0.433364,0.319557,0.00584494,0.213453,2.07765,0.0067092,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes,g_Alistipes,0.3,4745,-2017.81,0.0443,0.0334,0.0382,0.03,0.8232,0.0341,-0.103428,0.0471038,0.0253577,0.00431683,-0.000332821,4.83E-05,0.153254,0.027235,0.038891,0.00392062,1.17E-07,2.84E-09,-0.109565,0.0248142,3.94293,0.433393,0.319582,0.00586456,0.213434,2.07807,0.00666969,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_finegoldii,s_Alistipes_finegoldii,0.00027,4745,-4092.29,0.1533,0.0317,0.3178,0.0763,1.7552,0.0806,-0.242464,0.0730105,-0.0254115,0.0066773,9.95E-05,7.46E-05,0.186327,0.0421873,-0.00162179,0.00607763,3.94E-08,4.38E-09,0.0292498,0.0384719,0.0903255,0.435233,0.0285664,0.00866887,0.000371153,0.236361,0.000475345,0.05697
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_indistinctus,s_Alistipes_indistinctus,0.0087,4745,-3170.14,0.1124,0.0324,0.1576,0.0507,1.2451,0.055,-0.104652,0.0601016,-0.00741065,0.00550183,-1.12E-05,6.15E-05,0.0767377,0.0347318,-0.00725256,0.00500287,2.58E-08,3.61E-09,-0.0102695,0.031666,0.0300437,0.0370147,0.000363509,0.00147039,0.00742245,0.100833,5.86E-05,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_onderdonkii,s_Alistipes_onderdonkii,0.038,4745,-5098.02,0.0866,0.0328,0.2736,0.1128,2.885,0.1243,-0.170264,0.0902052,-0.00369782,0.00826162,4.12E-05,9.24E-05,0.147092,0.052136,0.00479929,0.0075085,6.68E-08,5.43E-09,-0.149566,0.0475239,0.619439,0.00921622,0.00488914,0.00540244,0.00325027,0.677319,0.0124288,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_putredinis,s_Alistipes_putredinis,0.024,4745,-5065.24,0.1173,0.0323,0.3659,0.1131,2.7527,0.1222,-0.0715948,0.0896096,-0.000795722,0.00820221,-9.60E-05,9.17E-05,0.110258,0.051783,0.0388015,0.00745916,9.89E-08,5.39E-09,-0.211758,0.0472136,2.0568,0.00042676,0.0266057,0.00303553,0.212453,1.48732,0.0249139,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_senegalensis,s_Alistipes_senegalensis,0.0042,4745,-4299.65,0.1184,0.0323,0.2673,0.0819,1.9913,0.0885,0.0390145,0.076258,-0.00794955,0.00697997,0.000120589,7.80E-05,-0.0312968,0.0440673,-0.0216899,0.00634777,1.03E-08,4.58E-09,-0.0204372,0.0401791,0.0366792,0.0425938,0.0419543,0.000244576,0.0663864,0.0162683,0.000232062,0.7938
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_shahii,s_Alistipes_shahii,0.0028,4745,-4986.51,0.1341,0.0321,0.4049,0.1103,2.6141,0.1179,0.142177,0.0881444,-0.00118638,0.00806513,-6.73E-05,9.02E-05,-0.058498,0.0509336,0.00904841,0.00733731,8.28E-08,5.30E-09,-0.128238,0.0464438,0.927296,0.000948656,0.0130599,0.000854467,0.0115534,1.04152,0.00913679,0.5404
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_sp_AP11,s_Alistipes_sp_AP11,0.0099,4745,-1869.79,0.0985,0.0326,0.0799,0.0291,0.7306,0.0318,-0.143272,0.0456895,0.00162565,0.00418365,-7.29E-05,4.68E-05,0.105561,0.0264052,0.00286662,0.00380315,2.90E-08,2.75E-09,-0.0212085,0.0240718,0.119161,0.00178122,0.0153518,0.00278241,0.0011596,0.127663,0.000249911,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes.s_Alistipes_unclassified,s_Alistipes_unclassified,0.12,4745,-1646.09,0.0791,0.0329,0.0583,0.0262,0.6788,0.029,-0.13153,0.0435763,0.00853599,0.00399153,-4.78E-05,4.47E-05,0.0908091,0.0251872,-0.00319313,0.00362717,3.56E-09,2.62E-09,-0.0208604,0.0229575,0.0221501,0.04911,0.00659517,0.00205907,0.00143879,0.00192193,0.000241774,1
k_Bacteria.p_Firmicutes,p_Firmicutes,0.06,4745,-479.25,0.0623,0.0332,0.0281,0.0159,0.4225,0.0178,0.0766624,0.0340698,0.0410887,0.00312156,-0.000396391,3.49E-05,0.0273942,0.0196952,0.0277923,0.00283582,1.04E-07,2.05E-09,0.00357899,0.0179485,4.08241,1.1379,0.453324,0.000187383,0.108996,1.6492,7.12E-06,1
k_Bacteria.p_Firmicutes.c_Bacilli,c_Bacilli,0.2,4745,-3322.41,0.0592,0.0332,0.0883,0.0525,1.405,0.059,-0.00662485,0.0620244,0.0033158,0.0056831,-8.26E-06,6.36E-05,-0.00749927,0.0358564,-0.00359141,0.00516262,-2.67E-08,3.73E-09,-0.00618567,0.0326752,0.0984489,0.00741036,0.00019682,1.40E-05,0.0018201,0.108543,2.13E-05,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales,o_Lactobacillales,0.16,4745,-3325.07,0.0667,0.0331,0.0997,0.0528,1.3956,0.059,0.00573048,0.0620658,0.00358196,0.00568627,-6.89E-06,6.36E-05,-0.0153848,0.0358779,-0.00338483,0.00516611,-2.77E-08,3.73E-09,0.00431576,0.0326975,0.0977569,0.00864773,0.000136995,5.91E-05,0.00161673,0.116612,1.03E-05,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae,f_Lactobacillaceae,0.37,4745,-1480.43,0.0344,0.0335,0.0236,0.0238,0.6631,0.0272,0.00591494,0.042053,0.00500786,0.00385441,-5.33E-05,4.32E-05,0.00148168,0.0243175,-0.00583532,0.00350017,-8.67E-09,2.53E-09,-0.0187056,0.022153,0.0188179,0.0169031,0.00820438,5.48E-07,0.00480501,0.0114157,0.000194405,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lactobacillus,g_Lactobacillus,0.36,4745,-1479.99,0.0346,0.0335,0.0237,0.0238,0.6629,0.0272,0.00533081,0.0420492,0.0050233,0.00385406,-5.35E-05,4.32E-05,0.00191378,0.0243152,-0.00586067,0.00349986,-8.64E-09,2.53E-09,-0.0187214,0.022151,0.0187808,0.0170075,0.00826658,9.15E-07,0.00484685,0.0113445,0.000194732,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lactobacillus.s_Lactobacillus_delbrueckii,s_Lactobacillus_delbrueckii,1,4745,-583.91,0,0.0339,0,0.0161,0.4749,0.0188,-0.0227366,0.0349483,0.000820801,0.00320426,5.79E-06,3.59E-05,0.019515,0.0202188,-0.00325417,0.00290868,-6.34E-09,2.10E-09,0.000296191,0.0184094,0.00831217,0.000454085,9.67E-05,9.51E-05,0.00149433,0.00610489,4.87E-08,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae,f_Streptococcaceae,0.41,4745,-3245.56,0.0357,0.0335,0.0516,0.0501,1.3935,0.0572,0.0317587,0.0610047,-0.00951595,0.00559136,0.000114774,6.26E-05,-0.0336327,0.0352759,0.00826999,0.00507757,-2.92E-08,3.67E-09,0.00435401,0.0321366,0.115983,0.0610331,0.0380055,0.000282446,0.00965106,0.129364,1.05E-05,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus,g_Streptococcus,0.45,4745,-3181.05,0.0324,0.0335,0.0456,0.0487,1.3607,0.0556,0.0325516,0.0601774,-0.00649911,0.00551574,7.62E-05,6.18E-05,-0.0348627,0.0347989,0.00982023,0.00500869,-3.09E-08,3.62E-09,-0.0149689,0.0317006,0.112035,0.0284688,0.0167632,0.000303483,0.0136085,0.144946,0.000124493,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus.s_Streptococcus_parasanguinis,s_Streptococcus_parasanguinis,0.6,4745,-2249.6,0.0243,0.0336,0.0231,0.0327,0.9266,0.0376,-0.0213193,0.0494441,-0.011419,0.00453234,9.63E-05,5.08E-05,0.00717369,0.0285951,0.00691124,0.00411529,-1.23E-08,2.98E-09,0.0165334,0.0260461,0.0414166,0.0878854,0.0267436,1.28E-05,0.00674026,0.0229881,0.000151875,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus.s_Streptococcus_salivarius,s_Streptococcus_salivarius,1,4745,-2635.63,0,0.0339,0,0.0379,1.1198,0.0443,-0.0137916,0.0536673,-0.0089128,0.00492052,7.79E-05,5.51E-05,-0.00342184,0.0310484,0.013695,0.00446662,-2.13E-08,3.23E-09,-0.0463966,0.0282697,0.0576594,0.0535414,0.0174886,2.92E-06,0.0264659,0.0690834,0.00119601,1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus.s_Streptococcus_thermophilus,s_Streptococcus_thermophilus,1,4745,-2135.64,0,0.0339,0,0.0319,0.9421,0.0373,0.0864958,0.0492258,-0.00524039,0.0045133,2.89E-05,5.06E-05,-0.0581937,0.0284788,0.00750596,0.00409697,-1.79E-08,2.96E-09,-0.00910129,0.0259301,0.0518728,0.0185093,0.00240177,0.000845599,0.0079502,0.0489232,4.60E-05,1
k_Bacteria.p_Firmicutes.c_Clostridia,c_Clostridia,0.095,4745,-631.79,0.0614,0.0332,0.0295,0.0169,0.451,0.019,0.0276613,0.0351815,0.0413423,0.00322346,-0.000393295,3.61E-05,0.0600677,0.020338,0.0230201,0.00292835,1.04E-07,2.12E-09,-0.00252703,0.0185341,3.89503,1.152,0.446272,0.000900937,0.0747788,1.64788,3.55E-06,1
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales,o_Clostridiales,0.095,4745,-631.83,0.0613,0.0332,0.0295,0.0169,0.451,0.019,0.0276685,0.0351817,0.0413434,0.00322348,-0.000393301,3.61E-05,0.0600636,0.0203382,0.0230192,0.00292837,1.04E-07,2.12E-09,-0.00253355,0.0185342,3.89506,1.15206,0.446284,0.000900816,0.0747729,1.64789,3.57E-06,1
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae,f_Clostridiaceae,0.1,4745,-3768.66,0.0729,0.033,0.1314,0.0639,1.6716,0.0711,0.0996444,0.0681535,0.0161881,0.0062434,-0.000165609,6.99E-05,-0.0911151,0.0393949,-0.0122907,0.00567287,-3.27E-08,4.10E-09,0.0837526,0.0359051,0.130018,0.176625,0.0791279,0.00207297,0.0213167,0.162687,0.00389726,1
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae.g_Clostridium,g_Clostridium,0.058,4745,-3752.41,0.0839,0.0328,0.1504,0.0639,1.6408,0.0705,0.116352,0.0679297,0.0185506,0.00622176,-0.000193507,6.96E-05,-0.102744,0.0392621,-0.0131389,0.00565431,-3.30E-08,4.09E-09,0.0782633,0.035788,0.129318,0.231941,0.108033,0.00263588,0.0243604,0.165187,0.00340313,1
