Taxon,Taxon_Shortname,pvalue,Persons,loglik,H2,SEH2,Va,SEVa,Ve,SEVe,mu,SEmu,ANTHRO.AGE,SEANTHRO.AGE,ANTHRO.AGE2,SEANTHRO.AGE2,gender,SEgender,ANTHRO.BMI,SEANTHRO.BMI,META.DNA.postclean.reads,SEMETA.DNA.postclean.reads,META.POOP.Freq,SEMETA.POOP.Freq,Varmu,VarANTHRO.AGE,VarANTHRO.AGE2,Vargender,VarANTHRO.BMI,VarMETA.DNA.postclean.reads,VarMETA.POOP.Freq,FDR
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia.s_Adlercreutzia_equolifaciens,s_Adlercreutzia_equolifaciens,1,4745,-3308.16,0,0.0339,0,0.0515,1.5207,0.0602,0.0680431,0.0625404,-0.00528499,0.00573406,0.000145495,6.43E-05,-0.0664374,0.0361818,-0.0091701,0.00520512,-2.98E-08,3.77E-09,-0.0195995,0.0329437,0.192029,0.0188256,0.0610743,0.00110214,0.0118663,0.134821,0.00021343,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella,g_Collinsella,3.30E-06,4745,-2131.08,0.2265,0.0304,0.2063,0.0343,0.7048,0.0347,0.0607104,0.0482897,0.000642602,0.00440688,-4.98E-05,4.92E-05,-0.0442813,0.0279082,0.00425224,0.00401995,3.00E-08,2.89E-09,-0.0609434,0.0254524,0.121687,0.000278321,0.00714355,0.000489614,0.00255153,0.136945,0.00206356,0.000759
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella.s_Collinsella_aerofaciens,s_Collinsella_aerofaciens,1.00E-05,4745,-1916.98,0.2038,0.0308,0.1694,0.0311,0.6618,0.0319,0.0586208,0.0461631,0.00180017,0.00421591,-5.25E-05,4.71E-05,-0.042149,0.0266762,0.00340639,0.00384288,3.01E-08,2.77E-09,-0.0701831,0.0243293,0.12646,0.00218419,0.0079411,0.000443596,0.00163739,0.137238,0.00273671,0.00223
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella,g_Eggerthella,0.0021,4745,-2754.54,0.1188,0.0323,0.1399,0.0427,1.0377,0.0461,0.253787,0.0550641,0.0357929,0.00504001,-0.000315266,5.64E-05,-0.197387,0.0318199,-0.0247366,0.00458357,-3.30E-08,3.31E-09,0.0636768,0.0290124,0.101311,0.863485,0.286759,0.00972855,0.0863466,0.165104,0.00225282,0.4074
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella.s_Eggerthella_lenta,s_Eggerthella_lenta,0.57,4745,-1457.82,0.0207,0.0337,0.014,0.0234,0.6661,0.0269,0.151643,0.0418422,0.0146911,0.00383565,-0.000130663,4.30E-05,-0.108566,0.0241998,-0.00917289,0.00348256,-1.41E-08,2.52E-09,-0.00403526,0.0220415,0.0206155,0.145468,0.0492566,0.00294308,0.0118735,0.0301795,9.05E-06,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella.s_Eggerthella_unclassified,s_Eggerthella_unclassified,0.035,4745,-2567.5,0.0873,0.0328,0.0949,0.0388,0.9922,0.0428,0.240608,0.0529207,0.0310578,0.00484678,-0.00027459,5.42E-05,-0.185623,0.0305864,-0.0208864,0.00440501,-3.03E-08,3.18E-09,0.0533916,0.0278809,0.0852743,0.650134,0.217537,0.0086035,0.0615588,0.139235,0.00158383,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter,g_Gordonibacter,1,4745,-2134.03,0,0.0339,0,0.031,0.9149,0.0362,0.182353,0.0485095,0.012766,0.00444762,-5.85E-05,4.98E-05,-0.140591,0.0280644,-0.00466166,0.00403735,-2.55E-08,2.92E-09,-0.0472775,0.0255528,0.0547875,0.109842,0.00988293,0.00493545,0.00306652,0.0990156,0.00124186,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter.s_Gordonibacter_pamelaeae,s_Gordonibacter_pamelaeae,1,4745,-2122.23,0,0.0339,0,0.0308,0.91,0.036,0.181247,0.0483783,0.0127276,0.0044356,-5.83E-05,4.97E-05,-0.139845,0.0279885,-0.00466541,0.00402643,-2.55E-08,2.91E-09,-0.0462386,0.0254837,0.054412,0.109183,0.00979936,0.00488319,0.00307145,0.0985626,0.00118788,1
k_Bacteria.p_Bacteroidetes,p_Bacteroidetes,0.0068,4745,-265.08,0.0927,0.0327,0.0382,0.0148,0.3738,0.0162,0.161523,0.0325774,0.0358326,0.00298335,-0.000469761,3.34E-05,-0.0128674,0.018828,0.0685923,0.0027117,1.16E-07,1.96E-09,0.105771,0.0171634,6.11492,0.8654,0.636674,4.13E-05,0.663921,2.03044,0.00621575,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia,c_Bacteroidia,0.0069,4745,-265.12,0.0926,0.0327,0.0382,0.0148,0.3738,0.0162,0.161518,0.0325777,0.0358334,0.00298337,-0.000469777,3.34E-05,-0.0128583,0.0188282,0.0685948,0.00271172,1.16E-07,1.96E-09,0.105747,0.0171635,6.11493,0.865441,0.636716,4.13E-05,0.663969,2.03039,0.00621301,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales,o_Bacteroidales,0.0069,4745,-265.13,0.0926,0.0327,0.0382,0.0148,0.3738,0.0162,0.161527,0.0325777,0.0358344,0.00298338,-0.000469784,3.34E-05,-0.012863,0.0188282,0.0685946,0.00271172,1.16E-07,1.96E-09,0.10574,0.0171636,6.11496,0.865489,0.636736,4.13E-05,0.663964,2.03039,0.0062121,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae,f_Bacteroidaceae,0.00089,4745,-2076.93,0.1438,0.0319,0.1274,0.0325,0.7586,0.0345,0.0781979,0.0477431,0.0293573,0.00436745,-0.000401677,4.88E-05,0.0107253,0.0275874,0.0603592,0.00397426,6.85E-08,2.87E-09,0.19286,0.0251569,3.21792,0.580888,0.465496,2.87E-05,0.514106,0.71366,0.0206657,0.18067
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides,g_Bacteroides,0.00093,4745,-2076.63,0.1433,0.0319,0.1269,0.0325,0.759,0.0345,0.0779352,0.04774,0.0293598,0.00436722,-0.000401747,4.88E-05,0.0109622,0.0275857,0.0603599,0.003974,6.85E-08,2.87E-09,0.193141,0.0251552,3.21854,0.580987,0.465657,3.00E-05,0.514117,0.713718,0.0207259,0.18786
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_caccae,s_Bacteroides_caccae,6.80E-05,4745,-3003.22,0.2195,0.0305,0.2888,0.0495,1.0265,0.0502,-0.0112663,0.0580353,-0.00550696,0.00529749,-4.08E-05,5.92E-05,0.023512,0.0335392,0.00498222,0.00483123,2.47E-08,3.48E-09,0.0361657,0.0305882,0.0619984,0.0204402,0.00479475,0.000138036,0.00350276,0.0928481,0.000726701,0.015096
