id	name
UniRef90_C5GJ00	UniRef90_C5GJ00 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A1D8PFV8	UniRef90_A0A1D8PFV8 17-beta-hydroxysteroid dehydrogenase-like protein
UniRef90_A0A2J5HVB1	UniRef90_A0A2J5HVB1 Putative 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_I4YC31	UniRef90_I4YC31 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A3D8RZJ7	UniRef90_A0A3D8RZJ7 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A3D8SET2	UniRef90_A0A3D8SET2 Putative hydroxysteroid dehydrogenase-like protein 2
UniRef90_A0A3A2ZVE7	UniRef90_A0A3A2ZVE7 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_B6K1D0	UniRef90_B6K1D0 3 beta-hydroxysteroid dehydrogenase/delta 5-4-isomerase
UniRef90_A0A3A2ZML2	UniRef90_A0A3A2ZML2 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_A0A3A2ZH46	UniRef90_A0A3A2ZH46 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_S9X9I3	UniRef90_S9X9I3 3 beta-hydroxysteroid dehydrogenase/delta 5-4-isomerase
UniRef90_A0A376B4J1	UniRef90_A0A376B4J1 Related to 17-beta-hydroxysteroid dehydrogenase-like protein
UniRef90_A0A369K9T5	UniRef90_A0A369K9T5 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
UniRef90_A0A284RW11	UniRef90_A0A284RW11 Related to 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A369K631	UniRef90_A0A369K631 11-beta-hydroxysteroid dehydrogenase-like 3
UniRef90_A0A0J0BK40	UniRef90_A0A0J0BK40 20beta-hydroxysteroid dehydrogenase
UniRef90_A0A1Q8S8L0	UniRef90_A0A1Q8S8L0 11-beta-hydroxysteroid dehydrogenase-like 3
UniRef90_W9YX75	UniRef90_W9YX75 7-alpha-hydroxysteroid dehydrogenase
UniRef90_Q4WZ82	"UniRef90_Q4WZ82 3-beta hydroxysteroid dehydrogenase/isomerase, putative"
UniRef90_Q4WJC6	"UniRef90_Q4WJC6 3-beta hydroxysteroid dehydrogenase/isomerase family protein, putative"
UniRef90_Q4WFG7	UniRef90_Q4WFG7 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A072P2Z4	UniRef90_A0A072P2Z4 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A072NVZ8	UniRef90_A0A072NVZ8 7-alpha-hydroxysteroid dehydrogenase
UniRef90_J5JSG0	UniRef90_J5JSG0 17beta-hydroxysteroid dehydrogenase
UniRef90_A0A3M2TDI8	UniRef90_A0A3M2TDI8 3-beta hydroxysteroid dehydrogenase/isomerase family (Fragment)
UniRef90_A0A3M2T5G5	UniRef90_A0A3M2T5G5 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_J5JQB2	UniRef90_J5JQB2 20beta-hydroxysteroid dehydrogenase
UniRef90_A0A3M2T5D2	UniRef90_A0A3M2T5D2 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_A0A3M2SU44	UniRef90_A0A3M2SU44 3-beta hydroxysteroid dehydrogenase/isomerase family (Fragment)
UniRef90_A0A194VCF2	UniRef90_A0A194VCF2 11-beta-hydroxysteroid dehydrogenase-like 3
UniRef90_A0A162IFD5	UniRef90_A0A162IFD5 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_V5FED2	UniRef90_V5FED2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A135UKP4	UniRef90_A0A135UKP4 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A443I7V7	UniRef90_A0A443I7V7 Putative 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A505HSM9	UniRef90_A0A505HSM9 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_E9E002	"UniRef90_E9E002 3-beta hydroxysteroid dehydrogenase/isomerase family protein, putative"
UniRef90_A0A1L7VMA6	UniRef90_A0A1L7VMA6 Related to 20beta-hydroxysteroid dehydrogenase
UniRef90_X0K1C0	UniRef90_X0K1C0 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A0U5CS19	UniRef90_A0A0U5CS19 Putative 3-beta hydroxysteroid dehydrogenase/isomerase family protein (AFU_orthologue AFUA_3G02250)
UniRef90_A0A165EPE9	UniRef90_A0A165EPE9 Putative hydroxysteroid dehydrogenase
UniRef90_A0A165GBJ5	UniRef90_A0A165GBJ5 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A0U5G8G8	"UniRef90_A0A0U5G8G8 Putative 17 beta-hydroxysteroid dehydrogenase type 3, HSD17B3"
UniRef90_A0A1W5DCI8	UniRef90_A0A1W5DCI8 3-beta hydroxysteroid dehydrogenase isomerase
UniRef90_A0A1E1KH23	UniRef90_A0A1E1KH23 Related to 20beta-hydroxysteroid dehydrogenase
UniRef90_A0A1E1KFD6	UniRef90_A0A1E1KFD6 Probable 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A1E1LDA4	"UniRef90_A0A1E1LDA4 Probable 17 beta-hydroxysteroid dehydrogenase type 3, HSD17B3"
UniRef90_A0A165G892	UniRef90_A0A165G892 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0F7TXS5	UniRef90_A0A0F7TXS5 Putative 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_G2XRV0	UniRef90_G2XRV0 Similar to 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M7WGK5	UniRef90_M7WGK5 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A165TUA7	UniRef90_A0A165TUA7 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A4P9ZSF5	UniRef90_A0A4P9ZSF5 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein
UniRef90_A0A010RM78	UniRef90_A0A010RM78 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_W9WA09	UniRef90_W9WA09 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A166VQK6	UniRef90_A0A166VQK6 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A166QFH6	UniRef90_A0A166QFH6 3-beta hydroxysteroid dehydrogenase (NAD dependent epimerase/dehydratase)
UniRef90_C9SAE3	UniRef90_C9SAE3 3-beta-hydroxysteroid dehydrogenase
UniRef90_A0A146HAW0	UniRef90_A0A146HAW0 3-beta hydroxysteroid dehydrogenase isomerase family
UniRef90_A0A166VVJ6	UniRef90_A0A166VVJ6 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A484FM48	UniRef90_A0A484FM48 11-beta-hydroxysteroid dehydrogenase-like 3
UniRef90_A0A484F8A5	UniRef90_A0A484F8A5 11-beta-hydroxysteroid dehydrogenase-like 2
UniRef90_N4UYB8	UniRef90_N4UYB8 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_N4VQM6	UniRef90_N4VQM6 3-beta hydroxysteroid dehydrogenase isomerase family
UniRef90_A0A1W2TJA9	UniRef90_A0A1W2TJA9 Putative 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A1J9RW91	UniRef90_A0A1J9RW91 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A1W2TMI6	UniRef90_A0A1W2TMI6 Putative 3-beta hydroxysteroid dehydrogenase protein
UniRef90_A0A1W2TGQ2	UniRef90_A0A1W2TGQ2 Putative 3-beta hydroxysteroid dehydrogenase isomerase
UniRef90_A0A2G5HIP2	UniRef90_A0A2G5HIP2 17-beta-hydroxysteroid dehydrogenase 14
UniRef90_A0A1J9RZI4	UniRef90_A0A1J9RZI4 3-beta hydroxysteroid dehydrogenase isomerase
UniRef90_A0A0S1MKJ2	UniRef90_A0A0S1MKJ2 17-beta hydroxysteroid dehydrogenase 13
UniRef90_A0A1J9R871	UniRef90_A0A1J9R871 3-beta hydroxysteroid dehydrogenase isomerase
UniRef90_A0A0G2EWP5	UniRef90_A0A0G2EWP5 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A4P9W2T4	UniRef90_A0A4P9W2T4 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein
UniRef90_A0A1Y2GPC1	UniRef90_A0A1Y2GPC1 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein
UniRef90_B8N7T6	"UniRef90_B8N7T6 3-beta hydroxysteroid dehydrogenase/isomerase, putative"
UniRef90_R8B9R7	UniRef90_R8B9R7 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_K2SF39	UniRef90_K2SF39 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_R8BLF9	UniRef90_R8BLF9 Putative 3-beta hydroxysteroid dehydrogenase protein
UniRef90_R8BU75	UniRef90_R8BU75 Putative 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase protein
UniRef90_A0A2H3F7N3	UniRef90_A0A2H3F7N3 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_K2RBF5	UniRef90_K2RBF5 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_K2RMT7	UniRef90_K2RMT7 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_K2S5J2	UniRef90_K2S5J2 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_K2QXN0	UniRef90_K2QXN0 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_R8BQU3	UniRef90_R8BQU3 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_R8BB33	UniRef90_R8BB33 Putative 3-beta-hydroxysteroid dehydrogenase protein
UniRef90_A0A1I6TJB5	UniRef90_A0A1I6TJB5 Predicted choloylglycine hydrolase
UniRef90_D2ZPP5	"UniRef90_D2ZPP5 Linear amide C-N hydrolase, choloylglycine hydrolase family protein"
UniRef90_L0JTE3	UniRef90_L0JTE3 Putative choloylglycine hydrolase
UniRef90_A0A1I6TJB5	UniRef90_A0A1I6TJB5 Predicted choloylglycine hydrolase
UniRef90_D2ZPP5	"UniRef90_D2ZPP5 Linear amide C-N hydrolase, choloylglycine hydrolase family protein"
UniRef90_L0JTE3	UniRef90_L0JTE3 Putative choloylglycine hydrolase
