id	name
UniRef90_A0A2D7BD05	UniRef90_A0A2D7BD05 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2E0YBD5	UniRef90_A0A2E0YBD5 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2E3C5H0	UniRef90_A0A2E3C5H0 3-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A2R6H393	UniRef90_A0A2R6H393 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2H6H2E7	UniRef90_A0A2H6H2E7 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_A0A2D6WYU8	UniRef90_A0A2D6WYU8 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6J6V0	UniRef90_A0A2R6J6V0 3-beta hydroxysteroid dehydrogenase
UniRef90_F7PGE9	UniRef90_F7PGE9 3alphaor 20beta-hydroxysteroid dehydrogenase protein
UniRef90_Q5V661	UniRef90_Q5V661 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_E7QNK9	UniRef90_E7QNK9 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_E7QTB9	UniRef90_E7QTB9 3-beta hydroxysteroid dehydrogenase/isomerase family superfamily protein
UniRef90_D8JAC1	UniRef90_D8JAC1 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_I3R745	UniRef90_I3R745 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A0A7V8D8	UniRef90_A0A0A7V8D8 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0A7V7G5	UniRef90_A0A0A7V7G5 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0A7UZ11	UniRef90_A0A0A7UZ11 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_I3R2H5	UniRef90_I3R2H5 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A0A7UYK3	UniRef90_A0A0A7UYK3 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_G0I0H4	UniRef90_G0I0H4 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A256HBT3	UniRef90_A0A256HBT3 3-beta hydroxysteroid dehydrogenase
UniRef90_M0MGP2	UniRef90_M0MGP2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9PEM1	UniRef90_A0A1Q9PEM1 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_A0A1Q9P711	UniRef90_A0A1Q9P711 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_M0FVZ1	UniRef90_M0FVZ1 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0G696	UniRef90_M0G696 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0B6J1	UniRef90_M0B6J1 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9P5A5	UniRef90_A0A1Q9P5A5 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_L9W8D5	UniRef90_L9W8D5 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0T5ZEP3	UniRef90_A0A0T5ZEP3 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9N508	UniRef90_A0A1Q9N508 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_A0A0W1SQ32	UniRef90_A0A0W1SQ32 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A371M3S2	UniRef90_A0A371M3S2 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A0H1R197	UniRef90_A0A0H1R197 3-beta hydroxysteroid dehydrogenase
UniRef90_L9WCC6	UniRef90_L9WCC6 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0JB38	UniRef90_M0JB38 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0LQX2	UniRef90_M0LQX2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_I7CL46	UniRef90_I7CL46 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A3N6MB48	UniRef90_A0A3N6MB48 3-beta hydroxysteroid dehydrogenase
UniRef90_A5UJ48	UniRef90_A5UJ48 Short chain dehydrogenase (7-alpha-hydroxysteroid dehydrogenase)
UniRef90_A0A346PU72	UniRef90_A0A346PU72 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A0N9YHJ5	UniRef90_A0A0N9YHJ5 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_V4Y3D2	UniRef90_V4Y3D2 3-beta hydroxysteroid dehydrogenase/isomerase family (Fragment)
UniRef90_A0A315YAX4	UniRef90_A0A315YAX4 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A4V6E684	UniRef90_A0A4V6E684 3-beta hydroxysteroid dehydrogenase (Fragment)
UniRef90_M0BPI2	UniRef90_M0BPI2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A2R6DIX5	UniRef90_A0A2R6DIX5 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A202E980	UniRef90_A0A202E980 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A166TE83	UniRef90_A0A166TE83 3-beta hydroxysteroid dehydrogenase
