"D.Cardiomet.Thrombosis","D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.DiabetesT2","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.Stomach.Ulcer","D.GI.Gallstones","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Rheumatoid.Arthritis","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","ACE_inhibitors_ATC_C09AA","Antibacterials_ATC_J01","Antipsychotics_atypical_ATC_N05AH","Beta_blokkers_ATC_C07AB","Biguanides_ATC_A10BA","Calcium_antagonists_ATC_C08CA","Corticosteroids_Eyedrops_ATC_S03A","Corticosteroids_Oral_ATC_H02","Fluorochinolons_ATC_C08DA","Intestinal_antiinflammatory_agents_ATC_A07E","Laxatives_osmotic_ATC_A06AD","Laxatives_volume_increasing_ATC_A06AC","Other_Alimentary_Metabolism_ATC_A","PPIs_ATC_A02BC","Salycilates_ATC_B01AC","Seratonine_uptake_inhibitors_selective_ATC_N06AB","Statines_ATC_C10AA","Sulfonylureumderivaties_ATC_A10BB","Tricyclic_antidepressants_ATC_N06AA","Vitamine_B_ATC_A11DA","D.GI.IBS.Any","D.GI.IBS.TypeM","D.GI.IBS.TypeD","D.GI.FGID.Bloating","D.GI.Discomfort.Unwell","D.GI.Discomfort.Pain","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Burping","D.GI.Discomfort.Nausea","General Health"
0,-2.20969078485785,-3.78655311546548,-2.79957677645069,-5.19306762955634,-2.41468546911933,-3.05299199701829,-1.96930927803481,-3.33443286580069,0,0,0,-3.05251200722998,0,0,-2.97540030075431,0,-2.17625692233872,-2.69704006068817,-3.09207205108674,-3.22619139766591,-2.90029187214438,-2.80681802288739,-3.33799249548343,0,-2.36201426940033,-4.15772536009957,0,-3.18227361754598,-4.07637249650704,-2.40305661779547,-2.48492200612908,-2.057620271726,-2.44824555280914,-3.44207186762437,-3.93388747889338,-3.14645982887855,0,-5.00112765472224,-2.81388481961211,-2.38794143950477,-2.39053940943793,-3.004551841655,-2.46919026889455,-3.92953591256377,-3.7687291509699,0,-3.64491431841043,0,-3.03123340499586,-4.01282631518088,0,0,0,5.81279935773566
0,0,3.44598433382907,0,2.85968644839343,2.35011236259485,4.03040783969727,0,0,4.73690824180184,0,0,0,3.52338531810971,2.01183877741487,3.91506741787778,0,3.69541567308686,0,2.05339459677742,2.42685522331361,4.22354951328822,2.86745649054335,2.4424150553434,0,3.97467774372551,0,0,5.09237933432176,2.56041794971581,3.97321321625301,3.38454996633252,4.41204757579202,0,0,4.63727470202582,2.26275227296501,0,10,6.44866811511864,4.3349264099554,4.61445662705065,0,3.9354352245349,0,2.92661924273007,0,0,0,2.39066348887266,3.68159388915181,3.62200885648902,5.19958652185819,3.95583375757063,-5.83096038195567
0,0,3.12282589124893,0,2.08349390537513,0,0,0,0,5.01064494161422,0,-2.53914526954241,0,0,0,2.58520616544537,0,2.40274161558271,0,0,0,2.12425485169702,0,0,0,2.85570230401879,0,0,5.02043977470543,0,2.48131700482942,0,3.02440649730905,-2.14152192277459,0,2.50563524651345,2.34893043060753,0,10,5.22277483681146,0,4.05866187434741,0,0,0,2.06883837640073,0,0,0,0,2.26637385889525,3.16539414048292,4.54389963500654,2.33617440488172,-4.89191805878909
0,3.06317824322777,2.30009304354998,1.99306409362457,2.27579097946999,3.11460402877846,5.1081589248364,2.5434989369548,0,3.17883706986354,5.53712631076585,3.34668064965629,5.15542115858657,3.41435567110974,3.69001881081734,3.32253391776433,3.30709074237788,0,0,3.41911838543217,2.51993332662147,2.31767071863835,4.10276513105326,5.38961718002912,0,3.2104405404105,2.85467387774639,3.13112987514495,4.49396786001297,5.5223984966009,3.40653137261189,0,3.19791562886952,2.1805164847574,0,4.3713382250644,0,3.93456952927179,5.21545367750807,2.117054878861,3.29887372979339,0,1.97241224056295,1.9988242069759,2.24462498721011,3.44525954909951,2.86955239468526,2.8601687402711,3.63949224358309,4.53387771171723,3.91004525281771,2.22626843527896,2.70806294329416,4.29682593567103,-7.74618876655468
2.20518408035636,4.01443255516838,0,2.92435674986879,0,4.5105847430914,7.44213949506791,2.89450858264906,3.01096195576394,2.25441220292936,5.7949690002527,3.61996614902865,2.65282551733936,2.75306775811559,4.84946040370739,2.81928073246025,0,0,2.0093389557524,2.53914637403784,2.58153669676398,2.18419140892309,0,2.33158743665003,0,2.48917232066161,7.06820719146294,4.54958660020627,4.63742899150832,9.22793449979445,0,0,2.74967755730623,2.53830547099737,0,4.00695835360333,0,3.50364471975478,4.66589594487674,0,4.33935394988356,2.54440143735304,5.69678842661574,2.59733597420464,4.98484144029886,3.23358787352063,2.02650412297714,4.27399395876316,3.96411206736042,4.76570407469093,4.77920532053863,0,0,4.58540192766109,-6.04511179625298
0,0,0,0,0,0,4.8011378058308,2.17675179772257,0,0,5.3951649709519,0,0,0,0,0,2.09478938830285,0,0,3.82186184072946,0,0,2.79918384097412,2.48975792929212,0,0,2.30232757023646,0,5.42065278032806,3.69211690023431,0,0,3.10754831613277,0,0,0,3.29954457775313,0,4.22378174656782,3.04003157887371,2.43223337456712,2.49759272870745,2.63482621363399,2.78452044493792,0,3.0172882596366,0,3.09798447184715,0,3.21252354560225,3.23788238809078,0,3.20286798116886,2.78767915225326,-4.97562946052334
0,2.75536561041246,0,2.72285916913054,0,2.56092308946124,6.79596135644694,0,3.70415411741648,0,2.31698202010833,0,0,0,3.10621575711603,2.79312412066757,0,0,2.27636139632101,0,2.15891291897041,2.72777762862149,0,0,0,3.5645465213127,4.55665575325191,3.95082699581847,2.96000707806016,6.16467246502619,2.86131656510203,0,0,4.97327620233954,2.10162841105352,2.9461021523405,0,0,4.83403183286644,4.46107737135562,2.2229047495132,3.30732352107828,3.98818962677337,0,0,0,0,2.00789598627516,0,0,0,0,0,2.4977129940948,-4.53661614748858
0,2.26404175303471,0,2.06385408150157,0,0,0,0,0,0,2.42274962167138,0,0,0,0,4.07537930445605,0,0,3.16228764730122,0,2.19314795864331,3.22365790559847,0,0,0,2.06875218251065,2.55517712998694,0,0,0,0,2.26120051546215,0,2.73840066374816,0,5.56479295499099,3.00434318678716,0,4.11958032128099,2.116758532076,0,0,0,3.35620228465204,1.97356186344231,0,0,0,0,2.56944487109898,3.85206056941021,1.96202416701783,0,0,-6.40437543300719
3.30780434200269,3.9493621559878,1.96371350594705,0,2.34674296282962,2.98225024481524,3.7044486927226,2.45074036085209,1.9682260589673,0,4.8106549711355,3.69482370740862,3.32196679001083,4.12839021441497,0,3.15226494834333,2.10015335908297,2.13057113592788,2.1060982049869,2.57641927582616,4.31094834028676,0,2.12830425857529,2.7216613043815,2.97610585565311,0,2.50991664959405,2.61489681068313,1.98620450265319,2.99873158798626,3.61316046789299,0,0,0,0,2.85805628138092,0,3.46382639903332,2.29266873463694,0,2.9621657754089,0,0,0,2.85787884019438,3.53285893857434,2.97251223196194,2.13163509553079,0,3.02274016327928,3.81684250244894,0,2.47427160518394,4.18329229141147,-5.69297082329223
0,3.33342763364477,0,2.73468852916176,3.73065529409252,0,0,0,0,0,0,0,2.40530227435857,0,0,2.43696324097479,0,0,2.62386277305371,0,2.94857045437249,2.19342734402161,2.28007186827629,2.93674158127626,3.20979132087177,0,2.54522296641838,0,0,0,2.46610521545973,0,0,2.44528530914147,0,0,0,0,0,2.1858920969116,0,0,0,2.09864243288612,0,0,0,0,0,0,0,2.22214829989422,2.15118147664132,0,-6.62749040238022
