"D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.DiabetesT2","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.Thrombosis","D.GI.Discomfort.Burping","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Nausea","D.GI.Discomfort.Pain","D.GI.Discomfort.Unwell","D.GI.FGID.Bloating","D.GI.Gallstones","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.IBS.Any","D.GI.IBS.TypeD","D.GI.IBS.TypeM","D.GI.Stomach.Ulcer","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Other.Rheumatoid.Arthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","General Health"
0,0,0,-3.58760612417121,0,0,-3.1193968900898,-3.10467616697199,-2.62417388309685,-2.05345961506136,-3.32748522503945,-2.88931233500247,0,-2.8154239306317,0,0,-4.10768406410191,-2.10865703199331,-3.20711119165141,0,0,0,-2.13571868864789,0,-2.99048174505812,0,0,0,-3.16937218596447,-3.53258571890058,-2.19649844609684,-3.69982340942857,-3.05816142589094,-2.76290316409254,5.85590266907742
0,0,0,-4.84067199443956,0,0,0,-2.84918256603471,0,-2.38048528709446,0,-3.01480771309399,-1.99307136574543,0,0,0,-2.14037927309784,0,0,0,0,-3.17412404242522,-2.6401404688239,0,-2.33248854548253,-3.24409244383302,0,0,0,0,0,-3.22491977725077,-4.83733893564149,-4.05152313118141,5.12697063608922
0,0,0,0,2.05311681387874,0,0,0,0,3.52477927004361,3.13749405480838,3.42215196034579,0,0,0,0,2.28385505454872,0,0,0,0,2.33585361486068,0,0,0,0,0,0,0,0,0,2.96251710411436,0,0,-2.48778854962759
0,0,3.24001197692127,0,0,0,0,0,0,3.21554616694628,4.01420239322343,2.74397423041568,0,0,0,0,2.54880775974153,0,2.77307264416871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30088896178093
2.8875700646806,0,2.30630179434193,-1.96128962607232,0,0,0,0,0,0,0,0,0,2.53675647460804,-5.21311579381443,0,2.07568090186431,0,0,2.23861330374568,1.98169307243917,2.85633234252058,0,0,2.96025717235593,3.45508960968638,3.07599790543052,2.00610792876776,2.74631005652361,0,0,0,3.68289905990583,2.2974354758059,-8.09951198685902
2.72543454469107,0,0,5.13689141934144,0,0,0,0,0,2.58968678424449,3.76724798270688,4.10542769932114,3.24388306445987,4.48804422401961,0,0,4.30715677941255,2.89528307377077,2.89340086369112,1.96441238076952,3.96351091042926,2.13440983729505,2.30862573574141,2.04816802310349,2.0594889842821,0,2.48020759846731,0,2.70747218214996,0,0,0,0,0,-5.32526005217475
0,0,0,3.8019256756854,0,0,0,0,2.07906939773083,1.97169146623145,0,1.96270858416671,0,2.07994468782272,0,0,2.51382648124774,0,2.3947037707801,0,0,4.45020163579472,2.45049668682808,3.5690463305489,0,2.28238621915904,0,0,2.50070260121498,0,0,0,0,0,-3.68440620284774
0,0,0,-9.32331623394798,0,-2.38419228039993,0,-2.70110419162366,0,-5.39033722715825,-5.25476001786244,-4.70231907314523,0,-4.68466729609868,-10.0344537058368,0,-5.24708216336392,-5.62780320963726,-2.88591518400501,-2.62609404441162,0,0,-3.13805203945411,0,-2.50412222065578,-2.55500330238815,0,0,-3.7315006605092,-2.52822894555601,-3.68082206249289,-3.65215858979887,-2.0711833250102,0,5.24549905108143
4.28150577451556,0,2.56525496519951,0,2.66644274045279,0,3.94218489652872,3.45332580750118,0,2.38260549416791,2.60664717618651,3.35172037099088,0,2.51619752349922,0,4.1903247423255,2.55375928870841,2.05693075499826,0,2.42311498017285,0,3.51526161740242,0,0,2.0579298170181,2.05506732711217,2.98188457947511,0,3.15010966549909,3.13919374914821,2.02678918942133,2.21768206024462,2.15352814906299,3.4718946791084,-5.73491245362186
0,0,0,-5.6931401725403,0,0,-2.31904034190826,-2.34606159113384,0,-3.46573635803725,-3.46776210430537,-3.11710100217471,-3.07213418000046,0,-5.27834540898283,-3.47529695825945,-3.95020944253586,-2.54382996948417,-2.45704383721795,-2.21901189564185,0,-2.50878972795529,-2.76040457506641,0,-2.27023207061124,0,-2.34433907151548,0,-2.98609667566206,0,0,0,-2.53393083979624,0,5.41763302105761
0,3.69847898120375,0,0,3.47105876752479,0,0,0,2.56437662120755,0,3.95893109876474,3.80814562079407,0,0,0,0,4.01533771943914,0,3.40794132757936,0,0,2.14832697844392,2.30932063148191,2.53339716885663,3.202332483589,3.48709171536847,0,0,0,2.50068196755029,0,2.48909337490526,2.87629870683773,2.94456176330309,-4.71050375666293
2.54829038099095,0,0,0,0,0,2.07114969073059,2.90662751678732,0,4.03554542300176,3.30991904722788,3.39704679657334,0,2.56884381047163,0,0,3.29064116685489,0,2.86410210043104,2.15366352454426,0,2.15080329422146,2.5721472937419,0,3.07127423590927,0,0,0,0,0,0,0,2.72378008309443,2.86772674614675,-2.25176768711589
0,-2.4270193315366,-3.2814537768245,-3.75256673952646,-2.94912589728243,-3.95503362326039,0,0,0,0,0,0,0,0,0,0,-2.22806589948639,0,0,-2.27115483129671,0,-2.68326949158851,0,0,0,0,0,0,0,0,-2.24939295217782,-2.08122080434363,0,0,2.18422164438349
-1.97393540429581,0,0,0,0,0,0,3.5457763196592,2.25065090104884,3.4783101225969,3.02348413408516,3.13646198653618,0,0,0,0,3.01138159900328,3.65907357960358,0,2.30987878456209,0,0,0,3.32464795949896,0,0,0,0,2.23176548385083,0,2.1797934620823,2.12487109797945,0,0,0
0,3.3351302163098,1.99093177062632,2.44716251593846,0,0,0,2.23488925044881,0,2.6682288414941,2.68531205522657,2.79972209630795,0,0,2.85209135584334,0,2.20947063356708,3.11523584856688,0,3.31225567954873,0,0,0,0,0,0,0,2.80977783773524,0,0,2.30305252045569,2.76571810578727,3.17685024416166,0,-3.31927807220021
-2.66841000980465,-2.85152110960869,0,0,-3.41305644676861,0,0,0,0,0,-2.71598683314161,-2.01269487496385,0,0,0,-2.30397094774275,-3.82299156612523,-3.06783638997558,0,-2.54491850371535,0,0,0,0,-3.97784401328363,-2.44454776477013,0,-2.99422702221439,0,0,-2.38731026467183,-3.24141187166507,-2.55737009426965,-2.51935442936077,4.26998579315041
0,-2.34446705576562,-2.64155090435199,-3.05286579647704,-3.17100127577221,0,0,-2.02434858093275,0,0,-2.77346065978047,-2.06243744047084,0,0,-1.98554515852411,-2.79392015119768,-2.83360782904026,0,-3.11135523724491,0,0,-4.43186444669571,-2.17495115837686,0,0,0,0,-2.67086587196491,0,-2.1967565433998,-2.44197610013791,0,-2.30089725162128,0,3.55968029773787
